Test_Date,DeadSea_Level
1976-01-10,-398.95
1976-01-11,-399.01
1976-01-12,-399.12
1977-01-01,-399.05
1977-01-02,-399.04
1977-01-03,-399.04
1977-01-04,-399.05
1977-01-05,-399.01
1977-01-06,-399.14
1977-01-07,-399.32
1977-01-08,-399.37
1977-01-09,-399.49
1977-01-10,-399.66
1977-01-11,-399.87
1977-01-12,-399.88
1978-01-01,-399.79
1978-01-02,-399.69
1978-01-03,-399.67
1978-01-04,-399.54
1978-01-05,-399.53
1978-01-06,-399.68
1978-01-07,-399.83
1978-01-08,-399.96
1978-01-09,-400.07
1978-01-10,-400.19
1978-01-11,-400.31
1978-01-12,-400.38
1979-01-01,-400.34
1979-01-02,-400.33
1979-01-03,-400.32
1979-01-04,-400.29
1979-01-05,-400.42
1979-01-06,-400.54
1979-01-07,-400.65
1979-01-08,-400.76
1979-01-09,-400.91
1979-01-10,-400.99
1979-01-11,-401.08
1979-01-12,-400.14
1980-01-01,-400.63
1980-01-02,-400.44
1980-01-03,-400.19
1980-01-04,-399.77
1980-01-05,-399.66
1980-01-06,-399.65
1980-01-07,-399.81
1980-01-08,-399.97
1980-01-09,-400.16
1980-01-10,-400.31
1980-01-11,-400.38
1980-01-12,-400.49
1981-01-01,-400.23
1981-01-02,-400.18
1981-01-03,-399.86
1981-01-04,-399.69
1981-01-05,-399.64
1981-01-06,-399.69
1981-01-07,-399.86
1981-01-08,-400.04
1981-01-09,-400.18
1981-01-10,-400.34
1981-01-11,-400.47
1981-01-12,-400.63
1982-01-01,-400.63
1982-01-02,-400.63
1982-01-03,-400.58
1982-01-04,-400.54
1982-01-05,-400.54
1982-01-06,-400.6
1982-01-07,-400.73
1982-01-08,-400.89
1982-01-09,-401.07
1982-01-10,-401.2
1982-01-11,-401.3
1982-01-12,-401.39
1983-01-01,-401.49
1983-01-02,-401.48
1983-01-03,-401.39
1983-01-04,-401.08
1983-01-05,-401.11
1983-01-06,-401.19
1983-01-07,-401.28
1983-01-08,-401.46
1983-01-09,-401.63
1983-01-10,-401.75
1983-01-11,-401.93
1983-01-12,-402.04
1984-01-01,-402.19
1984-01-02,-402.23
1984-01-03,-402.28
1984-01-04,-402.28
1984-01-05,-402.27
1984-01-06,-402.35
1984-01-07,-402.48
1984-01-08,-402.64
1984-01-09,-402.78
1984-01-10,-402.86
1984-01-11,-402.96
1984-01-12,-403.08
1985-01-01,-403.1
1985-01-02,-403.2
1985-01-03,-403.0
1985-01-04,-402.97
1985-01-05,-402.93
1985-01-06,-402.97
1985-01-07,-403.09
1985-01-08,-403.18
1985-01-09,-403.3
1985-01-10,-403.45
1985-01-11,-403.6
1985-01-12,-403.66
1986-01-01,-403.67
1986-01-02,-403.8
1986-01-03,-403.69
1986-01-04,-403.72
1986-01-05,-403.73
1986-01-06,-403.79
1986-01-07,-403.9
1986-01-08,-404.05
1986-01-09,-404.22
1986-09-24,-404.26
1986-10-31,-404.41
1986-12-23,-404.51
1987-02-26,-404.54
1987-07-05,-404.56
1987-07-12,-405.16
1987-07-28,-404.82
1987-08-26,-404.94
1987-09-16,-405.05
1987-10-22,-405.02
1988-01-08,-405.22
1988-01-14,-405.23
1988-04-28,-404.84
1988-05-09,-405.36
1988-05-25,-404.88
1988-06-23,-405.01
1988-08-25,-405.32
1988-10-03,-405.03
1988-10-21,-405.55
1988-11-23,-405.76
1989-03-02,-405.66
1989-03-22,-405.85
1989-04-14,-405.92
1989-05-24,-405.9
1989-07-08,-406.26
1989-07-18,-406.22
1989-10-09,-406.45
1989-10-29,-406.59
1989-11-27,-406.69
1989-12-01,-405.83
1989-12-06,-406.09
1989-12-26,-406.75
1990-01-24,-406.83
1990-02-10,-407.39
1990-02-26,-406.85
1990-03-26,-406.83
1990-04-24,-406.84
1990-05-09,-407.34
1990-05-31,-406.91
1990-07-18,-407.11
1990-09-08,-407.24
1990-10-28,-407.39
1990-11-06,-406.95
1990-11-26,-407.53
1990-12-13,-407.6
1991-01-22,-407.63
1991-02-28,-407.73
1991-03-01,-407.67
1991-03-31,-407.31
1991-06-05,-407.6
1991-08-21,-408.0
1991-09-06,-407.65
1991-09-16,-408.14
1991-10-10,-408.28
1991-11-19,-408.37
1991-12-07,-407.83
1991-12-22,-408.31
1992-01-27,-407.99
1992-02-24,-407.1
1992-03-29,-406.47
1992-04-27,-406.46
1992-05-26,-406.37
1992-06-21,-406.64
1992-07-26,-406.75
1992-08-27,-407.04
1992-09-20,-407.17
1992-10-26,-407.28
1992-11-19,-407.37
1992-12-15,-407.38
1993-01-22,-406.94
1993-02-25,-406.7
1993-03-29,-406.48
1993-04-10,-407.48
1993-04-22,-406.61
1993-05-30,-406.73
1993-06-16,-406.73
1993-07-22,-407.02
1993-08-17,-407.13
1993-09-19,-407.38
1993-10-24,-407.57
1993-11-15,-407.55
1993-11-25,-407.64
1994-01-25,-407.58
1994-03-22,-407.48
1994-04-05,-407.55
1994-04-20,-407.48
1994-05-29,-407.63
1994-06-13,-407.73
1994-07-27,-407.94
1994-08-23,-408.1
1994-09-24,-408.3
1994-10-01,-407.54
1994-10-25,-408.32
1994-11-28,-408.32
1994-12-28,-408.33
1995-01-26,-408.32
1995-02-22,-408.08
1995-03-29,-408.17
1995-04-27,-408.15
1995-05-30,-408.24
1995-06-28,-408.2
1995-07-24,-408.52
1995-08-28,-408.69
1995-09-28,-408.79
1995-10-29,-408.94
1995-11-28,-409.07
1995-12-27,-409.17
1996-01-30,-409.18
1996-02-27,-409.17
1996-03-27,-409.2
1996-04-29,-409.18
1996-05-26,-409.32
1996-06-26,-409.45
1996-07-29,-409.6
1996-08-27,-409.72
1996-09-26,-409.83
1996-10-28,-409.96
1996-11-24,-410.0
1996-12-25,-410.07
1997-01-28,-409.94
1997-02-25,-410.02
1997-03-27,-410.03
1997-04-29,-410.1
1997-05-27,-410.14
1997-06-30,-410.28
1997-07-29,-410.43
1997-08-26,-410.56
1997-09-28,-410.71
1997-10-29,-410.73
1997-11-26,-410.84
1997-12-25,-410.84
1998-01-27,-410.87
1998-02-22,-410.91
1998-03-23,-410.95
1998-04-28,-411.05
1998-05-26,-411.17
1998-06-28,-411.28
1998-07-28,-411.42
1998-08-25,-411.47
1998-09-28,-411.68
1998-10-27,-411.79
1998-11-25,-411.8
1998-12-23,-411.9
1999-01-26,-412.0
1999-02-24,-412.04
1999-03-26,-412.12
1999-04-26,-412.12
1999-05-25,-412.26
